age,sex,aminoacid,maintenance(mg/kg/d),aminoacid_deposition(mg/kg/d),EAR(mg/kg/d),RDA(mg/kg/d)
7-12m,both,Histidine,11,7,22,32
7-12m,both,Isoleucine,15,9,30,43
7-12m,both,Leucine,34,18,65,93
7-12m,both,Lysine,31,18,62,89
7-12m,both,Methionine+cysteine,15,9,30,43
7-12m,both,Phenylalanine+tyrosine,27,18,58,84
7-12m,both,Threonine,16,10,34,49
7-12m,both,Tryptophan,4,3,9,13
7-12m,both,Valine,19,12,39,58
1-3y,both,Histidine,11,3,16,21
1-3y,both,Isoleucine,15,4,22,28
1-3y,both,Leucine,34,8,48,63
1-3y,both,Lysine,31,8,45,58
1-3y,both,Methionine+cysteine,15,4,22,28
1-3y,both,Phenylalanine+tyrosine,27,8,41,54
1-3y,both,Threonine,16,5,24,32
1-3y,both,Tryptophan,4,1,6,8
1-3y,both,Valine,19,5,28,37
4-8y,both,Histidine,11,1,13,16
4-8y,both,Isoleucine,15,2,18,22
4-8y,both,Leucine,34,4,40,49
4-8y,both,Lysine,31,3,37,46
4-8y,both,Methionine+cysteine,15,2,18,22
4-8y,both,Phenylalanine+tyrosine,27,3,33,41
4-8y,both,Threonine,16,2,19,24
4-8y,both,Tryptophan,4,1,5,6
4-8y,both,Valine,19,2,23,28
9-13y,boy,Histidine,11,1,13,17
9-13y,boy,Isoleucine,15,2,18,22
9-13y,boy,Leucine,34,4,40,49
9-13y,boy,Lysine,31,4,37,46
9-13y,boy,Methionine+cysteine,15,2,18,22
9-13y,boy,Phenylalanine+tyrosine,27,4,33,41
9-13y,boy,Threonine,16,2,19,24
9-13y,boy,Tryptophan,4,1,5,6
9-13y,boy,Valine,19,42,23,28
9-13y,girl,Histidine,11,1,12,15
9-13y,girl,Isoleucine,15,1,17,21
9-13y,girl,Leucine,34,2,38,47
9-13y,girl,Lysine,31,2,35,43
9-13y,girl,Methionine+cysteine,15,1,17,21
9-13y,girl,Phenylalanine+tyrosine,27,2,31,38
9-13y,girl,Threonine,16,1,18,22
9-13y,girl,Tryptophan,4,<0.5,5,6
9-13y,girl,Valine,19,2,22,27
14-18y,boy,Histidine,11,1,12,15
14-18y,boy,Isoleucine,15,1,17,21
14-18y,boy,Leucine,34,2,38,47
14-18y,boy,Lysine,31,2,35,43
14-18y,boy,Methionine+cysteine,15,1,17,21
14-18y,boy,Phenylalanine+tyrosine,27,2,31,38
14-18y,boy,Threonine,16,1,18,22
14-18y,boy,Tryptophan,4,<0.5,5,6
14-18y,boy,Valine,19,1,22,27
14-18y,girl,Histidine,11,<0.5,12,14
14-18y,girl,Isoleucine,15,<0.5,16,19
14-18y,girl,Leucine,34,1,35,44
14-18y,girl,Lysine,31,1,32,40
14-18y,girl,Methionine+cysteine,15,<0.5,16,19
14-18y,girl,Phenylalanine+tyrosine,27,1,28,35
14-18y,girl,Threonine,16,<0.5,17,21
14-18y,girl,Tryptophan,4,<0.5,4,5
14-18y,girl,Valine,19,1,20,24
>19y,both,Histidine,NA,NA,11,14
>19y,both,Isoleucine,NA,NA,15,19
>19y,both,Leucine,NA,NA,34,42
>19y,both,Lysine,NA,NA,31,38
>19y,both,Methionine+cysteine,NA,NA,15,19
>19y,both,Phenylalanine+tyrosine,NA,NA,27,33
>19y,both,Threonine,NA,NA,16,20
>19y,both,Tryptophan,NA,NA,4,5
>19y,both,Valine,NA,NA,19,4
all,pregnant,Histidine,NA,NA,15,18
all,pregnant,Isoleucine,NA,NA,20,25
all,pregnant,Leucine,NA,NA,45,56
all,pregnant,Lysine,NA,NA,41,51
all,pregnant,Methionine+cysteine,NA,NA,20,25
all,pregnant,Phenylalanine+tyrosine,NA,NA,36,44
all,pregnant,Threonine,NA,NA,21,26
all,pregnant,Tryptophan,NA,NA,5,7
all,pregnant,Valine,NA,NA,25,31
all,lactation,Histidine,NA,NA,15,19
all,lactation,Isoleucine,NA,NA,24,30
all,lactation,Leucine,NA,NA,50,62
all,lactation,Lysine,NA,NA,42,52
all,lactation,Methionine+cysteine,NA,NA,21,26
all,lactation,Phenylalanine+tyrosine,NA,NA,41,51
all,lactation,Threonine,NA,NA,24,30
all,lactation,Tryptophan,NA,NA,7,9
all,lactation,Valine,NA,NA,28,35
