Sex,AgeMin(year),AgeMax(year),Nutrient,DRI,Unit(/d),DRI_available,Upper_intake
Neutral,0,0.5,Calcium,200*,mg,0,1000.00
Neutral,0.5,1,Calcium,260*,mg,0,1500.00
Neutral,1,3,Calcium,700,mg,1,2500.00
Neutral,4,8,Calcium,1000,mg,1,2500.00
Male,9,13,Calcium,1300,mg,1,3000.00
Male,14,18,Calcium,1300,mg,1,3000.00
Male,19,30,Calcium,1000,mg,1,2500.00
Male,31,50,Calcium,1000,mg,1,2500.00
Male,51,70,Calcium,1000,mg,1,2000.00
Male,70,200,Calcium,1200,mg,1,2000.00
Female,9,13,Calcium,1300,mg,1,3000.00
Female,14,18,Calcium,1300,mg,1,3000.00
Female,19,30,Calcium,1000,mg,1,2500.00
Female,31,50,Calcium,1000,mg,1,2500.00
Female,51,70,Calcium,1200,mg,1,2000.00
Female,70,200,Calcium,1200,mg,1,2000.00
Pregnancy,14,18,Calcium,1300,mg,1,3000.00
Pregnancy,19,30,Calcium,1000,mg,1,2500.00
Pregnancy,31,50,Calcium,1000,mg,1,2500.00
Lactation,14,18,Calcium,1300,mg,1,3000.00
Lactation,19,30,Calcium,1000,mg,1,2500.00
Lactation,31,50,Calcium,1000,mg,1,2500.00
Neutral,0,0.5,Chromium,200*,ug,0,NA
Neutral,0.5,1,Chromium,260*,ug,0,NA
Neutral,1,3,Chromium,700,ug,1,NA
Neutral,4,8,Chromium,1000,ug,1,NA
Male,9,13,Chromium,1300,ug,1,NA
Male,14,18,Chromium,1300,ug,1,NA
Male,19,30,Chromium,1000,ug,1,NA
Male,31,50,Chromium,1000,ug,1,NA
Male,51,70,Chromium,1000,ug,1,NA
Male,70,200,Chromium,1200,ug,1,NA
Female,9,13,Chromium,1300,ug,1,NA
Female,14,18,Chromium,1300,ug,1,NA
Female,19,30,Chromium,1000,ug,1,NA
Female,31,50,Chromium,1000,ug,1,NA
Female,51,70,Chromium,1200,ug,1,NA
Female,70,200,Chromium,1200,ug,1,NA
Pregnancy,14,18,Chromium,1300,ug,1,NA
Pregnancy,19,30,Chromium,1000,ug,1,NA
Pregnancy,31,50,Chromium,1000,ug,1,NA
Lactation,14,18,Chromium,1300,ug,1,NA
Lactation,19,30,Chromium,1000,ug,1,NA
Lactation,31,50,Chromium,1000,ug,1,NA
Neutral,0,0.5,Copper,200*,ug,0,NA
Neutral,0.5,1,Copper,220*,ug,0,NA
Neutral,1,3,Copper,340,ug,1,1000.00
Neutral,4,8,Copper,440,ug,1,3000.00
Male,9,13,Copper,700,ug,1,5000.00
Male,14,18,Copper,890,ug,1,8000.00
Male,19,30,Copper,900,ug,1,10000.00
Male,31,50,Copper,900,ug,1,10000.00
Male,51,70,Copper,900,ug,1,10000.00
Male,70,200,Copper,900,ug,1,10000.00
Female,9,13,Copper,700,ug,1,5000.00
Female,14,18,Copper,890,ug,1,8000.00
Female,19,30,Copper,900,ug,1,10000.00
Female,31,50,Copper,900,ug,1,10000.00
Female,51,70,Copper,900,ug,1,10000.00
Female,70,200,Copper,900,ug,1,10000.00
Pregnancy,14,18,Copper,1000,ug,1,8000.00
Pregnancy,19,30,Copper,1000,ug,1,10000.00
Pregnancy,31,50,Copper,1000,ug,1,10000.00
Lactation,14,18,Copper,1300,ug,1,8000.00
Lactation,19,30,Copper,1300,ug,1,10000.00
Lactation,31,50,Copper,1300,ug,1,10000.00
Neutral,0,0.5,Fluoride,0.01*,mg,0,0.70
Neutral,0.5,1,Fluoride,0.5*,mg,0,0.90
Neutral,1,3,Fluoride,0.7*,mg,0,1.30
Neutral,4,8,Fluoride,1*,mg,0,2.20
Male,9,13,Fluoride,2*,mg,0,10.00
Male,14,18,Fluoride,3*,mg,0,10.00
Male,19,30,Fluoride,4*,mg,0,10.00
Male,31,50,Fluoride,4*,mg,0,10.00
Male,51,70,Fluoride,4*,mg,0,10.00
Male,70,200,Fluoride,4*,mg,0,10.00
Female,9,13,Fluoride,2*,mg,0,10.00
Female,14,18,Fluoride,3*,mg,0,10.00
