Sex,AgeMin(year),AgeMax(year),Nutrient,DRI,Unit(/d),DRI_available,Upper_intake,id
Neutral,0,0.5,alpha-Linolenic Acid,0.5,g,0,NA,NA
Neutral,0.5,1,alpha-Linolenic Acid,0.5,g,0,NA,NA
Neutral,1,3,alpha-Linolenic Acid,0.7,g,0,NA,NA
Neutral,4,8,alpha-Linolenic Acid,0.9,g,0,NA,NA
Male,9,13,alpha-Linolenic Acid,1.2,g,0,NA,NA
Male,14,18,alpha-Linolenic Acid,1.6,g,0,NA,NA
Male,19,30,alpha-Linolenic Acid,1.6,g,0,NA,NA
Male,31,50,alpha-Linolenic Acid,1.6,g,0,NA,NA
Male,51,70,alpha-Linolenic Acid,1.6,g,0,NA,NA
Male,70,200,alpha-Linolenic Acid,1.6,g,0,NA,NA
Female,9,13,alpha-Linolenic Acid,1,g,0,NA,NA
Female,14,18,alpha-Linolenic Acid,1.1,g,0,NA,NA
Female,19,30,alpha-Linolenic Acid,1.1,g,0,NA,NA
Female,31,50,alpha-Linolenic Acid,1.1,g,0,NA,NA
Female,51,70,alpha-Linolenic Acid,1.1,g,0,NA,NA
Female,70,200,alpha-Linolenic Acid,1.1,g,0,NA,NA
Pregnancy,14,18,alpha-Linolenic Acid,1.4,g,0,NA,NA
Pregnancy,19,30,alpha-Linolenic Acid,1.4,g,0,NA,NA
Pregnancy,31,50,alpha-Linolenic Acid,1.4,g,0,NA,NA
Lactation,14,18,alpha-Linolenic Acid,1.3,g,0,NA,NA
Lactation,19,30,alpha-Linolenic Acid,1.3,g,0,NA,NA
Lactation,31,50,alpha-Linolenic Acid,1.3,g,0,NA,NA
Neutral,0,0.5,Biotin,5,ug,0,NA,NA
Neutral,0.5,1,Biotin,6,ug,0,NA,NA
Neutral,1,3,Biotin,8,ug,0,NA,NA
Neutral,4,8,Biotin,12,ug,0,NA,NA
Male,9,13,Biotin,20,ug,0,NA,NA
Male,14,18,Biotin,25,ug,0,NA,NA
Male,19,30,Biotin,30,ug,0,NA,NA
Male,31,50,Biotin,30,ug,0,NA,NA
Male,51,70,Biotin,30,ug,0,NA,NA
Male,70,200,Biotin,30,ug,0,NA,NA
Female,9,13,Biotin,20,ug,0,NA,NA
Female,14,18,Biotin,25,ug,0,NA,NA
Female,19,30,Biotin,30,ug,0,NA,NA
Female,31,50,Biotin,30,ug,0,NA,NA
Female,51,70,Biotin,30,ug,0,NA,NA
Female,70,200,Biotin,30,ug,0,NA,NA
Pregnancy,14,18,Biotin,30,ug,0,NA,NA
Pregnancy,19,30,Biotin,30,ug,0,NA,NA
Pregnancy,31,50,Biotin,30,ug,0,NA,NA
Lactation,14,18,Biotin,35,ug,0,NA,NA
Lactation,19,30,Biotin,35,ug,0,NA,NA
Lactation,31,50,Biotin,35,ug,0,NA,NA
Neutral,0.5,1,Boron,NA,mg,0,NA,NA
Neutral,1,3,Boron,NA,mg,0,NA,NA
Neutral,4,8,Boron,NA,mg,0,3,NA
Male,9,13,Boron,NA,mg,0,6,NA
Male,14,18,Boron,NA,mg,0,11,NA
Male,19,30,Boron,NA,mg,0,17,NA
Male,31,50,Boron,NA,mg,0,20,NA
Male,51,70,Boron,NA,mg,0,20,NA
Male,70,200,Boron,NA,mg,0,20,NA
Female,9,13,Boron,NA,mg,0,20,NA
Female,14,18,Boron,NA,mg,0,11,NA
Female,19,30,Boron,NA,mg,0,17,NA
Female,31,50,Boron,NA,mg,0,20,NA
Female,51,70,Boron,NA,mg,0,20,NA
Female,70,200,Boron,NA,mg,0,20,NA
Pregnancy,14,18,Boron,NA,mg,0,20,NA
Pregnancy,19,30,Boron,NA,mg,0,17,NA
Pregnancy,31,50,Boron,NA,mg,0,20,NA
Lactation,14,18,Boron,NA,mg,0,20,NA
Lactation,19,30,Boron,NA,mg,0,17,NA
Lactation,31,50,Boron,NA,mg,0,20,NA
Lactation,31,50,Boron,NA,mg,0,20,NA
Neutral,0,0.5,Calcium,200,mg,0,1000,301
Neutral,0.5,1,Calcium,260,mg,0,1500,301
Neutral,1,3,Calcium,700,mg,1,2500,301
Neutral,4,8,Calcium,1000,mg,1,2500,301
Male,9,13,Calcium,1300,mg,1,3000,301
Male,14,18,Calcium,1300,mg,1,3000,301
Male,19,30,Calcium,1000,mg,1,2500,301
Male,31,50,Calcium,1000,mg,1,2500,301
Male,51,70,Calcium,1000,mg,1,2000,301
Male,70,200,Calcium,1200,mg,1,2000,301
Female,9,13,Calcium,1300,mg,1,3000,301
Female,14,18,Calcium,1300,mg,1,3000,301
Female,19,30,Calcium,1000,mg,1,2500,301
Female,31,50,Calcium,1000,mg,1,2500,301
Female,51,70,Calcium,1200,mg,1,2000,301
Female,70,200,Calcium,1200,mg,1,2000,301
Pregnancy,14,18,Calcium,1300,mg,1,3000,301
Pregnancy,19,30,Calcium,1000,mg,1,2500,301
Pregnancy,31,50,Calcium,1000,mg,1,2500,301
Lactation,14,18,Calcium,1300,mg,1,3000,301
Lactation,19,30,Calcium,1000,mg,1,2500,301
Lactation,31,50,Calcium,1000,mg,1,2500,301
Neutral,0,0.5,Carbohydrate,60,g,0,NA,205
Neutral,0.5,1,Carbohydrate,95,g,0,NA,205
Neutral,1,3,Carbohydrate,130,g,1,NA,205
Neutral,4,8,Carbohydrate,130,g,1,NA,205
Male,9,13,Carbohydrate,130,g,1,NA,205
Male,14,18,Carbohydrate,130,g,1,NA,205
Male,19,30,Carbohydrate,130,g,1,NA,205
Male,31,50,Carbohydrate,130,g,1,NA,205
Male,51,70,Carbohydrate,130,g,1,NA,205
Male,70,200,Carbohydrate,130,g,1,NA,205
Female,9,13,Carbohydrate,130,g,1,NA,205
Female,14,18,Carbohydrate,130,g,1,NA,205
Female,19,30,Carbohydrate,130,g,1,NA,205
Female,31,50,Carbohydrate,130,g,1,NA,205
Female,51,70,Carbohydrate,130,g,1,NA,205
Female,70,200,Carbohydrate,130,g,1,NA,205
Pregnancy,14,18,Carbohydrate,175,g,1,NA,205
Pregnancy,19,30,Carbohydrate,175,g,1,NA,205
Pregnancy,31,50,Carbohydrate,175,g,1,NA,205
Lactation,14,18,Carbohydrate,210,g,1,NA,205
Lactation,19,30,Carbohydrate,210,g,1,NA,205
Lactation,31,50,Carbohydrate,210,g,1,NA,205
Neutral,0,0.5,Chloride,0.18,g,0,NA,NA
Neutral,0.5,1,Chloride,0.57,g,0,NA,NA
Neutral,1,3,Chloride,1.5,g,0,2.3,NA
Neutral,4,8,Chloride,1.9,g,0,2.9,NA
Male,9,13,Chloride,2.3,g,0,3.4,NA
Male,14,18,Chloride,2.3,g,0,3.6,NA
Male,19,30,Chloride,2.3,g,0,3.6,NA
Male,31,50,Chloride,2.3,g,0,3.6,NA
Male,51,70,Chloride,2,g,0,3.6,NA
Male,70,200,Chloride,1.8,g,0,3.6,NA
Female,9,13,Chloride,2.3,g,0,3.4,NA
Female,14,18,Chloride,2.3,g,0,3.6,NA
Female,19,30,Chloride,2.3,g,0,3.6,NA
Female,31,50,Chloride,2.3,g,0,3.6,NA
Female,51,70,Chloride,2,g,0,3.6,NA
Female,70,200,Chloride,1.8,g,0,3.6,NA
Pregnancy,14,18,Chloride,2.3,g,0,3.6,NA
Pregnancy,19,30,Chloride,2.3,g,0,3.6,NA
Pregnancy,31,50,Chloride,2.3,g,0,3.6,NA
Lactation,14,18,Chloride,2.3,g,0,3.6,NA
Lactation,19,30,Chloride,2.3,g,0,3.6,NA
Lactation,31,50,Chloride,2.3,g,0,3.6,NA
Neutral,0,0.5,Choline,125,mg,0,NA,421
Neutral,0.5,1,Choline,150,mg,0,NA,421
Neutral,1,3,Choline,200,mg,0,1000,421
Neutral,4,8,Choline,250,mg,0,1000,421
Male,9,13,Choline,375,mg,0,2000,421
Male,14,18,Choline,550,mg,0,3000,421
Male,19,30,Choline,550,mg,0,3500,421
Male,31,50,Choline,550,mg,0,3500,421
Male,51,70,Choline,550,mg,0,3500,421
Male,70,200,Choline,550,mg,0,3500,421
Female,9,13,Choline,375,mg,0,2000,421
Female,14,18,Choline,400,mg,0,3000,421
Female,19,30,Choline,425,mg,0,3500,421
Female,31,50,Choline,425,mg,0,3500,421
Female,51,70,Choline,425,mg,0,3500,421
Female,70,200,Choline,425,mg,0,3500,421
Pregnancy,14,18,Choline,450,mg,0,3000,421
Pregnancy,19,30,Choline,450,mg,0,3500,421
Pregnancy,31,50,Choline,450,mg,0,3500,421
Lactation,14,18,Choline,550,mg,0,3000,421
Lactation,19,30,Choline,550,mg,0,3500,421
Lactation,31,50,Choline,550,mg,0,3500,421
Neutral,0,0.5,Chromium,200,ug,0,NA,NA
Neutral,0.5,1,Chromium,260,ug,0,NA,NA
Neutral,1,3,Chromium,700,ug,1,NA,NA
Neutral,4,8,Chromium,1000,ug,1,NA,NA
Male,9,13,Chromium,1300,ug,1,NA,NA
Male,14,18,Chromium,1300,ug,1,NA,NA
Male,19,30,Chromium,1000,ug,1,NA,NA
Male,31,50,Chromium,1000,ug,1,NA,NA
Male,51,70,Chromium,1000,ug,1,NA,NA
Male,70,200,Chromium,1200,ug,1,NA,NA
Female,9,13,Chromium,1300,ug,1,NA,NA
Female,14,18,Chromium,1300,ug,1,NA,NA
Female,19,30,Chromium,1000,ug,1,NA,NA
Female,31,50,Chromium,1000,ug,1,NA,NA
Female,51,70,Chromium,1200,ug,1,NA,NA
Female,70,200,Chromium,1200,ug,1,NA,NA
Pregnancy,14,18,Chromium,1300,ug,1,NA,NA
Pregnancy,19,30,Chromium,1000,ug,1,NA,NA
Pregnancy,31,50,Chromium,1000,ug,1,NA,NA
Lactation,14,18,Chromium,1300,ug,1,NA,NA
Lactation,19,30,Chromium,1000,ug,1,NA,NA
Lactation,31,50,Chromium,1000,ug,1,NA,NA
Neutral,0,0.5,Copper,200,ug,0,NA,312
Neutral,0.5,1,Copper,220,ug,0,NA,312
Neutral,1,3,Copper,340,ug,1,1000,312
Neutral,4,8,Copper,440,ug,1,3000,312
Male,9,13,Copper,700,ug,1,5000,312
Male,14,18,Copper,890,ug,1,8000,312
Male,19,30,Copper,900,ug,1,10000,312
Male,31,50,Copper,900,ug,1,10000,312
Male,51,70,Copper,900,ug,1,10000,312
Male,70,200,Copper,900,ug,1,10000,312
Female,9,13,Copper,700,ug,1,5000,312
Female,14,18,Copper,890,ug,1,8000,312
Female,19,30,Copper,900,ug,1,10000,312
Female,31,50,Copper,900,ug,1,10000,312
Female,51,70,Copper,900,ug,1,10000,312
Female,70,200,Copper,900,ug,1,10000,312
Pregnancy,14,18,Copper,1000,ug,1,8000,312
Pregnancy,19,30,Copper,1000,ug,1,10000,312
Pregnancy,31,50,Copper,1000,ug,1,10000,312
Lactation,14,18,Copper,1300,ug,1,8000,312
Lactation,19,30,Copper,1300,ug,1,10000,312
Lactation,31,50,Copper,1300,ug,1,10000,312
Neutral,0,0.5,Fat,31,g,0,NA,204
Neutral,0.5,1,Fat,30,g,0,NA,204
Neutral,1,3,Fat,NA,g,0,NA,204
Neutral,4,8,Fat,NA,g,0,NA,204
Male,9,13,Fat,NA,g,0,NA,204
Male,14,18,Fat,NA,g,0,NA,204
Male,19,30,Fat,NA,g,0,NA,204
Male,31,50,Fat,NA,g,0,NA,204
Male,51,70,Fat,NA,g,0,NA,204
Male,70,200,Fat,NA,g,0,NA,204
Female,9,13,Fat,NA,g,0,NA,204
Female,14,18,Fat,NA,g,0,NA,204
Female,19,30,Fat,NA,g,0,NA,204
Female,31,50,Fat,NA,g,0,NA,204
Female,51,70,Fat,NA,g,0,NA,204
Female,70,200,Fat,NA,g,0,NA,204
Pregnancy,14,18,Fat,NA,g,0,NA,204
Pregnancy,19,30,Fat,NA,g,0,NA,204
Pregnancy,31,50,Fat,NA,g,0,NA,204
Lactation,14,18,Fat,NA,g,0,NA,204
Lactation,19,30,Fat,NA,g,0,NA,204
Lactation,31,50,Fat,NA,g,0,NA,204
Neutral,0,0.5,Fluoride,0.01,mg,0,0.7,313
Neutral,0.5,1,Fluoride,0.5,mg,0,0.9,313
Neutral,1,3,Fluoride,0.7,mg,0,1.3,313
Neutral,4,8,Fluoride,1,mg,0,2.2,313
Male,9,13,Fluoride,2,mg,0,10,313
Male,14,18,Fluoride,3,mg,0,10,313
Male,19,30,Fluoride,4,mg,0,10,313
Male,31,50,Fluoride,4,mg,0,10,313
Male,51,70,Fluoride,4,mg,0,10,313
Male,70,200,Fluoride,4,mg,0,10,313
Female,9,13,Fluoride,2,mg,0,10,313
Female,14,18,Fluoride,3,mg,0,10,313
Female,19,30,Fluoride,3,mg,0,10,313
Female,31,50,Fluoride,3,mg,0,10,313
Female,51,70,Fluoride,3,mg,0,10,313
Female,70,200,Fluoride,3,mg,0,10,313
Pregnancy,14,18,Fluoride,3,mg,0,10,313
Pregnancy,19,30,Fluoride,3,mg,0,10,313
Pregnancy,31,50,Fluoride,3,mg,0,10,313
Lactation,14,18,Fluoride,3,mg,0,10,313
Lactation,19,30,Fluoride,3,mg,0,10,313
Lactation,31,50,Fluoride,3,mg,0,10,313
Neutral,0,0.5,Folate,65,ug,0,NA,417
Neutral,0.5,1,Folate,80,ug,0,NA,417
Neutral,1,3,Folate,150,ug,1,300,417
Neutral,4,8,Folate,200,ug,1,400,417
Male,9,13,Folate,300,ug,1,600,417
Male,14,18,Folate,400,ug,1,800,417
Male,19,30,Folate,400,ug,1,1000,417
Male,31,50,Folate,400,ug,1,1000,417
Male,51,70,Folate,400,ug,1,1000,417
Male,70,200,Folate,400,ug,1,1000,417
Female,9,13,Folate,300,ug,1,600,417
Female,14,18,Folate,400,ug,0,800,417
Female,19,30,Folate,400,ug,0,1000,417
Female,31,50,Folate,400,ug,0,1000,417
Female,51,70,Folate,400,ug,1,1000,417
Female,70,200,Folate,400,ug,1,1000,417
Pregnancy,14,18,Folate,600,ug,0,800,417
Pregnancy,19,30,Folate,600,ug,0,1000,417
Pregnancy,31,50,Folate,600,ug,0,1000,417
Lactation,14,18,Folate,500,ug,1,800,417
Lactation,19,30,Folate,500,ug,1,1000,417
Lactation,31,50,Folate,500,ug,1,1000,417
Neutral,0,0.5,Histidine,214,mg/kg,1,NA,512
Neutral,0.583,1,Histidine,32,mg/kg,1,NA,512
Neutral,1,3,Histidine,21,mg/kg,1,NA,512
Neutral,4,8,Histidine,16,mg/kg,1,NA,512
Male,9,13,Histidine,17,mg/kg,1,NA,512
Female,9,13,Histidine,15,mg/kg,1,NA,512
Male,14,18,Histidine,15,mg/kg,1,NA,512
Female,14,18,Histidine,14,mg/kg,1,NA,512
Neutral,19,200,Histidine,14,mg/kg,1,NA,512
Precnancy,0,200,Histidine,18,mg/kg,1,NA,512
Lactation,0,200,Histidine,19,mg/kg,1,NA,512
Neutral,0,0.5,Iodine,110,ug,0,NA,NA
Neutral,0.5,1,Iodine,130,ug,0,NA,NA
Neutral,1,3,Iodine,90,ug,1,200,NA
Neutral,4,8,Iodine,90,ug,1,300,NA
Male,9,13,Iodine,120,ug,1,600,NA
Male,14,18,Iodine,150,ug,1,900,NA
Male,19,30,Iodine,150,ug,1,1100,NA
Male,31,50,Iodine,150,ug,1,1100,NA
Male,51,70,Iodine,150,ug,1,1100,NA
Male,70,200,Iodine,150,ug,1,1100,NA
Female,9,13,Iodine,120,ug,1,600,NA
Female,14,18,Iodine,150,ug,1,900,NA
Female,19,30,Iodine,150,ug,1,1100,NA
Female,31,50,Iodine,150,ug,1,1100,NA
Female,51,70,Iodine,150,ug,1,1100,NA
Female,70,200,Iodine,150,ug,1,1100,NA
Pregnancy,14,18,Iodine,220,ug,1,900,NA
Pregnancy,19,30,Iodine,220,ug,1,1100,NA
Pregnancy,31,50,Iodine,220,ug,1,1100,NA
Lactation,14,18,Iodine,290,ug,1,900,NA
Lactation,19,30,Iodine,290,ug,1,1100,NA
Lactation,31,50,Iodine,290,ug,1,1100,NA
Neutral,0,0.5,Iron,0.27,mg,0,40,303
